Country;Population;Date
China;1402102760.00;07-Apr-20
India;1360738303.00;07-Apr-20
US;329584842.00;07-Apr-20
Indonesia;266911900.00;01-Jul-19
Pakistan;219203520.00;07-Apr-20
Brazil;211358778.00;07-Apr-20
Nigeria;206139587.00;01-Jul-20
Bangladesh;168400050.00;07-Apr-20
Russia;146745098.00;01-Jan-20
Mexico;126577691.00;01-Jul-19
Japan;125950000.00;01-Mar-20
Philippines;108508468.00;07-Apr-20
Egypt;100219756.00;07-Apr-20
Ethiopia;98665000.00;01-Jul-19
Vietnam;96208984.00;01-Apr-19
DR Congo;89561404.00;01-Jul-20
Iran;83344705.00;07-Apr-20
Turkey;83154997.00;31-Dec-19
Germany;83149300.00;30-Sep-19
France;67076000.00;01-Mar-20
Thailand;66490542.00;07-Apr-20
United Kingdom;66435550.00;30-Jun-18
Italy;60238522.00;30-Nov-19
South Africa;58775022.00;01-Jul-19
Tanzania;55890747.00;01-Jul-19
Myanmar;54339766.00;01-Jul-19
Korea, South;51780579.00;01-Jul-20
Colombia;49395678.00;30-Jun-19
Kenya;47564296.00;31-Aug-19
Spain;47100396.00;01-Jul-19
Argentina;44938712.00;01-Jul-19
Algeria;43000000.00;01-Jan-19
Sudan;42406315.00;07-Apr-20
Ukraine;41879904.00;01-Feb-20
Uganda;40299300.00;01-Jul-19
Iraq;39127900.00;01-Jul-19
Poland;38379000.00;31-Jan-20
Canada;37984942.00;07-Apr-20
Morocco;35861524.00;07-Apr-20
Saudi Arabia;34218169.00;01-Jul-19
Uzbekistan;34113034.00;07-Apr-20
Malaysia;32742760.00;07-Apr-20
Afghanistan;32225560.00;01-Jul-19
Venezuela;32219521.00;30-Jun-19
Peru;32131400.00;30-Jun-19
Angola;31127674.00;2020
Ghana;30280811.00;01-Jul-19
Mozambique;30066648.00;2020
Nepal;29996478.00;01-Jul-20
Yemen;29825968.00;01-Jul-20
Cameroon;26545864.00;01-Jul-20
Madagascar;26251309.00;2020
Ivory Coast;25823071.00;01-Jul-19
Australia;25670480.00;07-Apr-20
North Korea;25450000.00;01-Jul-19
Taiwan;23604265.00;31-Jan-20
Niger;22314743.00;01-Jul-19
